county_name,fdr_result
Modoc,7.5
Modoc,8.6
Modoc,8.2
Modoc,9.9
Modoc,9.9
Modoc,12.2
Modoc,12.7
Modoc,11.2
Modoc,10.1
Modoc,11.7
Modoc,9.8
Modoc,9.1
Modoc,9.2
Modoc,8.2
Modoc,8.7
Modoc,10.6
Modoc,12.5
Modoc,12.1
Modoc,8.9
Modoc,8.3
Modoc,12.1
Modoc,10.9
Modoc,11.5
Modoc,10.7
Modoc,10.8
Modoc,9
Modoc,9.8
Modoc,8.4
Modoc,12.5
Modoc,9.5
Modoc,9.8
Modoc,10.1
Modoc,9.6
Modoc,9.7
Modoc,9.4
Modoc,9.8
Modoc,9.4
Modoc,10
Modoc,9.4
Modoc,8.3
Modoc,9.1
Modoc,8.1
Modoc,8.8
Modoc,8.4
Modoc,7.4
Modoc,8.8
Modoc,11.2
Modoc,9.8
Modoc,8.5
Modoc,10.8
Modoc,9.5
Modoc,8.5
Modoc,9.2
Modoc,9.9
Modoc,11.3
Modoc,9.6
Modoc,9.4
Modoc,11.1
Modoc,8.9
Modoc,9
Modoc,9.2
Modoc,8
Modoc,10.5
Modoc,9
Modoc,10.9
Modoc,10.7
Modoc,9.2
Modoc,11.7
Modoc,9.4
Modoc,9.8
Modoc,9.4
Modoc,9.4
Modoc,9.7
Modoc,10.5
Modoc,11.4
Modoc,12.5
Modoc,8.3
Modoc,7.2
Modoc,8.6
Modoc,10.9
Modoc,9.6
Modoc,8.3
Modoc,8.5
Modoc,8.2
Modoc,9.4
Modoc,7.4
Modoc,8.8
Modoc,7.7
Modoc,8.3
Modoc,8.2
Modoc,8.1
Modoc,7.1
Modoc,8.7
Modoc,6.8
Modoc,6.1
Modoc,7.6
Modoc,8.9
Modoc,8.5
Modoc,7.5
Modoc,7.2
Modoc,8.8
Modoc,8.5
Modoc,6.7
Modoc,7.5
Modoc,7
Modoc,10.6
Modoc,11
Modoc,11.1
Modoc,11.7
Modoc,11.6
Modoc,11.1
Modoc,9.9
Modoc,7.7
Modoc,10.3
Modoc,11.8
Modoc,10.2
Modoc,10.2
Modoc,11.1
Modoc,10.1
Modoc,7.1
Modoc,9.6
Modoc,11.7
Modoc,9.3
Modoc,9.4
Modoc,12.2
Modoc,9
Modoc,10.1
Modoc,8.8
Modoc,9.1
Modoc,12
Modoc,9.1
Modoc,11.2
Modoc,9.7
Modoc,12.3
Modoc,11.3
Modoc,9.6
Modoc,12.9
Modoc,11.2
Modoc,8.3
Modoc,11
Modoc,9
Modoc,12.8
Modoc,9.9
Modoc,10.3
Modoc,10.6
Modoc,7.5
Modoc,1
Modoc,0.8
Modoc,5.6
Modoc,1.7
Modoc,3.4
Modoc,2.4
Modoc,0.8
Modoc,3.9
Modoc,1.8
Modoc,2.5
Modoc,0.5
Modoc,13
Modoc,1.1
Modoc,2.2
Modoc,1.3
Modoc,2.2
Modoc,2.2
Modoc,10.2
Modoc,9.7
Modoc,3.7
Modoc,5.1
Modoc,9.2
Modoc,8
Modoc,4.5
Modoc,8.7
Modoc,8.9
Modoc,9.7
Modoc,3.7
Modoc,0.6
Modoc,8.3
Modoc,9.2
Modoc,2.8
Modoc,7.1
Modoc,8.6
Modoc,10
Modoc,6.6
Modoc,7.2
Modoc,11.8
Modoc,9.4
Modoc,7.1
Santa Clara,11
Santa Clara,10
Santa Clara,8.8
Santa Clara,8.5
Santa Clara,8.1
Santa Clara,8.3
Santa Clara,10.6
Santa Clara,12.9
Santa Clara,7.8
Santa Clara,9.5
Santa Clara,10.1
Santa Clara,9.5
Santa Clara,8.8
Santa Clara,9.5
Santa Clara,8.8
Santa Clara,8.7
Santa Clara,8.6
Santa Clara,10.4
Santa Clara,11.5
Santa Clara,11.6
Santa Clara,10.5
Santa Clara,9.9
Santa Clara,11.8
Santa Clara,11.8
Santa Clara,9.9
Santa Clara,9
Santa Clara,9.5
Santa Clara,10.9
Santa Clara,9.8
Santa Clara,10.3
Santa Clara,12.3
Santa Clara,11.2
Santa Clara,10.1
Santa Clara,11.5
Santa Clara,11.6
Santa Clara,10.5
Santa Clara,9.5
Santa Clara,9.7
Santa Clara,10
Santa Clara,11
Santa Clara,12.9
Santa Clara,12.9
Santa Clara,10.9
Santa Clara,10.9
Santa Clara,10.5
Santa Clara,9.7
Santa Clara,9.2
Santa Clara,8.5
Santa Clara,8.7
Santa Clara,9.3
Santa Clara,10.6
Santa Clara,10.9
Santa Clara,11.8
Santa Clara,12.2
Santa Clara,11.9
Santa Clara,9.3
Santa Clara,10.5
Santa Clara,9.3
Santa Clara,8.8
Santa Clara,8.7
Santa Clara,9.3
Santa Clara,8.9
Santa Clara,9.5
Santa Clara,10.7
Santa Clara,12.7
Santa Clara,11.4
Santa Clara,11.4
Santa Clara,10.4
Santa Clara,10.6
Santa Clara,11.1
Santa Clara,10
Santa Clara,10.2
Santa Clara,8.1
Santa Clara,8.1
Santa Clara,9.2
Santa Clara,9.6
Santa Clara,10.4
Santa Clara,11.6
Santa Clara,12.8
Santa Clara,12.9
Santa Clara,5.4
Santa Clara,10
Santa Clara,9.1
Santa Clara,8.5
Santa Clara,8.5
Santa Clara,8.9
Santa Clara,9.3
Santa Clara,9.3
Santa Clara,10
Santa Clara,11
Santa Clara,11.3
Santa Clara,10.9
Santa Clara,10.8
